picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
3323,1.18,1.62,433,50.37,1.18,1.62,489,51.37,4556,90,69.5,0.6,isolated,isolated,nan,1903,1727,838,3087
3311,1.03,1.62,674,53.42,1.03,1.62,577,54.01,4556,90,71.1,1.3,isolated,isolated,nan,1876,1857,786,3194
3319,1.03,1.62,744,52.5,1.03,1.62,743,54.25,4556,90,72.6,1.3,isolated,38.8,nan,1935,1918,798,3528
3331,1.18,1.62,1125,60.03,1.18,1.62,1152,62.26,4556,90,83.2,1.3,isolated,43.21,nan,1908,2027,812,3823
3295,1.18,1.62,1062,59.65,1.18,1.62,1090,60.69,4556,90,89.73,1.2,isolated,41.88,nan,1855,1999,816,3793
3326,1.18,1.77,1294,63.57,1.18,1.77,1373,65.38,4556,90,100.9,1.6,isolated,46.13,maybe,1934,2107,808,3962
3299,1.33,1.77,1319,64.82,1.33,1.77,1417,65.97,4556,90,102.3,2.4,isolated,42.03,nan,1962,2129,819,3931
3315,1.33,1.92,1789,70.32,1.33,1.92,1916,71.49,4556,90,116.8,2.7,isolated,53.2,maybe,1982,2186,823,4043
3338,1.33,1.92,1752,70.31,1.33,1.92,1869,70.96,4556,90,121.4,2.2,isolated,53.47,maybe,1982,2229,829,4086
#3335,nan,2.21,nan,nan,nan,2.21,nan,nan,4556,90,158.3,0.8,nan,nan,nan,,,,
